codigo,nombre,cantidad_disponible,precio,fecha_vencimiento,dosis
001,Paracetamol,120,1.50,2026-12-31,500mg
002,Ibuprofeno,80,2.00,2025-11-15,400mg
003,Loratadina,60,1.80,2025-10-10,10mg
004,Omeprazol,100,2.20,2026-01-20,20mg
005,Amoxicilina,75,3.00,2025-09-01,500mg
006,Metformina,200,0.90,2026-07-30,850mg
007,Atorvastatina,90,2.50,2025-12-05,20mg
008,Cetirizina,50,1.70,2026-03-15,10mg
009,Salbutamol,40,2.80,2025-08-20,100mcg
010,Losartan,150,1.95,2026-05-10,50mg
011,Simvastatina,130,2.30,2027-02-14,20mg
012,Aspirina,110,1.20,2025-10-30,100mg
013,Clorfenamina,90,1.80,2026-09-12,4mg
014,Dextrometorfano,75,3.10,2026-11-19,15mg
015,Ranitidina,85,2.20,2026-12-21,150mg
016,Enalapril,120,2.50,2026-06-10,10mg
017,Furosemida,95,1.90,2026-07-11,40mg
018,Prednisona,80,2.60,2026-08-05,20mg
019,Naproxeno,70,1.70,2026-09-15,550mg
020,Diclofenaco,60,2.40,2026-10-21,50mg
021,Levotiroxina,50,2.80,2027-01-10,100mcg
022,Hidroclorotiazida,45,1.60,2026-04-11,25mg
023,Warfarina,40,3.20,2026-05-15,5mg
024,Clopidogrel,55,3.00,2026-06-18,75mg
025,Fluoxetina,65,2.10,2027-03-22,20mg
026,Sertralina,70,2.50,2027-04-20,50mg
027,Diazepam,50,1.50,2027-05-10,5mg
028,Lorazepam,45,1.70,2026-12-25,2mg
029,Tramadol,60,2.80,2027-07-15,50mg
030,Metoclopramida,55,1.90,2027-08-12,10mg
031,Albendazol,40,3.10,2027-09-05,400mg
032,Metronidazol,70,1.80,2027-10-10,500mg
033,Ciprofloxacino,60,2.20,2027-11-20,500mg
034,Claritromicina,50,2.70,2027-12-15,500mg
035,Azitromicina,45,3.00,2028-01-22,500mg
036,Hidroxicloroquina,55,1.60,2028-02-18,200mg
037,Amlodipino,60,1.90,2028-03-25,5mg
038,Clonazepam,50,2.50,2028-04-15,2mg
039,Oxcarbazepina,40,2.80,2028-05-20,300mg
040,Lamotrigina,55,3.10,2028-06-12,100mg
041,Gabapentina,45,2.00,2028-07-01,300mg
042,Pregabalina,60,2.30,2028-08-05,75mg
043,Levetiracetam,50,1.90,2028-09-10,500mg
044,Topiramato,40,2.20,2028-10-15,100mg
045,Valproato,55,3.20,2028-11-20,500mg
046,Fenitoina,45,2.40,2028-12-25,100mg
047,Hidroxizina,50,1.80,2029-01-30,10ml
048,Montelukast,60,2.60,2029-02-28,10mg
049,Rivaroxaban,55,3.30,2029-03-25,20mg
050,Dabigatran,40,2.90,2029-04-20,150mg
050,arcoxia,0,2.90,2029-04-20,120mg
051,Interferon,30,4.00,2030-06-20,3mg
052,Linezolid,40,3.80,2029-05-21,10mg
053,Vancomicina,45,4.10,2029-02-02,500mg
054,Meropenem,35,4.30,2029-09-18,1mg
055,Imipenem,30,4.50,2029-10-21,500mg
056,Colistina,25,4.70,2029-04-02,75mg
057,Tigeciclina,30,4.90,2029-12-20,50mg
058,Daptomicina,20,5.00,2029-08-15,500mg
059,Clindamicina,45,2.70,2029-07-28,300mg
060,Lincomicina,35,2.80,2029-04-20,600mg
