codigo,nombre,cantidad_disponible,precio,fecha_vencimiento,dosis,cantidad_vendida,fecha
001,Paracetamol,120,1.50,2026-12-31,500mg,75,2024-01-12
002,Ibuprofeno,100,2.00,2025-11-15,400mg,60,2024-01-15
003,Loratadina,60,1.80,2025-10-10,10mg,30,2024-02-03
004,Omeprazol,100,2.20,2026-01-20,20mg,48,2024-02-14
005,Amoxicilina,75,3.00,2025-09-01,500mg,110,2024-01-20
006,Metformina,200,0.90,2026-07-30,850mg,95,2024-03-02
007,Atorvastatina,90,2.50,2025-12-05,20mg,44,2024-01-28
008,Cetirizina,50,1.70,2026-03-15,10mg,33,2024-02-17
009,Salbutamol,40,2.80,2025-08-20,100mcg,76,2024-02-05
010,Losartan,150,1.95,2026-05-10,50mg,66,2024-03-18
011,Ranitidina,110,1.60,2026-04-22,150mg,54,2024-03-20
012,Diclofenaco,70,2.10,2025-09-30,50mg,48,2024-02-28
013,Clorfenamina,85,1.40,2026-06-15,4mg,32,2024-01-22
014,Amoxicilina,95,3.10,2026-07-25,250mg,78,2024-02-10
015,Captopril,130,1.80,2025-11-30,25mg,40,2024-03-05
016,Metformina,210,0.95,2026-10-10,500mg,90,2024-03-11
017,Amlodipino,140,2.20,2026-08-18,10mg,55,2024-02-15
018,Cefalexina,75,3.30,2025-12-12,500mg,68,2024-01-27
019,Loperamida,60,1.50,2026-05-25,2mg,36,2024-02-03
020,Naproxeno,50,2.30,2025-09-07,250mg,45,2024-03-02
021,Clonazepam,80,2.60,2026-06-30,0.5mg,25,2024-02-22
022,Dexametasona,55,2.00,2025-12-18,4mg,30,2024-01-15
023,Levotiroxina,90,1.90,2026-11-05,50mcg,42,2024-03-01
024,Clindamicina,100,3.00,2025-10-30,300mg,50,2024-02-12
025,Salbutamol,45,2.90,2026-02-20,200mcg,38,2024-03-18
026,Ibuprofeno,85,2.10,2025-12-22,600mg,59,2024-01-30
027,Paracetamol,130,1.40,2026-07-10,650mg,70,2024-02-27
028,Cetirizina,60,1.75,2026-08-08,5mg,33,2024-01-20
029,Omeprazol,95,2.25,2025-11-11,40mg,44,2024-02-17
030,Metformina,190,1.00,2026-09-15,750mg,80,2024-03-10
031,Atenolol,110,2.15,2025-10-05,50mg,39,2024-01-25
032,Loratadina,55,1.85,2026-01-20,10mg,28,2024-02-28
033,Amoxicilina,78,3.20,2025-08-19,500mg,65,2024-03-05
034,Captopril,140,1.85,2026-06-27,12.5mg,43,2024-02-12
035,Diclofenaco,60,2.00,2025-11-14,75mg,47,2024-03-08
036,Levotiroxina,85,1.95,2026-05-10,75mcg,40,2024-01-28
037,Clorfenamina,55,1.45,2025-12-29,8mg,31,2024-02-22
038,Salbutamol,42,2.85,2026-07-12,150mcg,34,2024-02-05
039,Losartan,155,2.00,2026-03-30,100mg,61,2024-03-15
040,Naproxeno,70,2.25,2025-09-23,500mg,48,2024-01-18
041,Clindamicina,90,3.10,2026-04-28,600mg,52,2024-02-14
042,Atorvastatina,100,2.55,2025-10-19,40mg,46,2024-03-02
043,Ibuprofeno,75,2.05,2026-08-15,300mg,55,2024-01-23
044,Metformina,210,0.92,2026-06-10,1000mg,85,2024-03-12
045,Paracetamol,120,1.50,2025-12-05,500mg,72,2024-02-19
046,Cetirizina,50,1.65,2026-02-22,10mg,35,2024-01-31
047,Amlodipino,130,2.30,2025-11-11,5mg,50,2024-02-25
048,Dexametasona,55,2.10,2026-03-05,8mg,28,2024-03-04
049,Clonazepam,80,2.55,2025-12-15,1mg,24,2024-01-28
050,Loratadina,60,1.90,2026-07-08,10mg,29,2024-02-02
052,Losartin,215,12.64,2026-05-15,50 mg,171,2024-10-07
053,Salbutamol,83,6.49,2027-01-20,100 mcg,119,2025-05-18
054,Naproxeno,295,4.27,2025-11-27,500 mg,176,2024-06-08
055,Clorfenamina,149,21.63,2025-11-01,4 mg,23,2024-12-24
056,Dipirona,404,4.68,2026-05-03,500 mg,20,2024-10-30
057,Ranitidina,398,19.32,2026-05-28,150 mg,44,2025-03-27
058,Cetirizina,41,7.89,2027-10-11,10 mg,48,2024-10-26
059,Azitromicina,334,18.59,2027-03-09,500 mg,167,2025-02-14
060,Paracetamol,412,21.29,2026-11-08,500 mg,50,2024-07-11
061,Ibuprofeno,141,18.42,2027-10-23,400 mg,154,2024-08-02
062,Amoxicilina,440,22.29,2027-01-18,500 mg,53,2024-08-24
063,Loratadina,325,13.68,2026-05-19,10 mg,157,2024-07-27
064,Omeprazol,392,15.62,2026-07-09,20 mg,192,2025-03-08
065,Metformina,261,13.72,2025-11-21,850 mg,46,2024-09-06
066,Atorvastatina,198,10.83,2026-12-13,20 mg,39,2024-11-27
067,Losartin,162,6.01,2027-08-17,50 mg,109,2025-04-14
068,Salbutamol,334,21.03,2026-05-02,100 mcg,150,2025-04-01
069,Naproxeno,219,21.39,2027-09-18,500 mg,163,2025-02-07
070,Clorfenamina,136,10.64,2026-11-29,4 mg,82,2024-07-20
071,Dipirona,223,12.42,2026-04-03,500 mg,42,2024-11-10
072,Ranitidina,254,4.47,2026-04-21,150 mg,136,2025-04-24
073,Cetirizina,304,7.47,2026-03-07,10 mg,117,2024-09-15
074,Azitromicina,343,16.84,2026-11-10,500 mg,35,2024-07-15
075,Paracetamol,123,8.17,2027-01-11,500 mg,1,2025-05-13
076,Ibuprofeno,454,2.27,2027-10-23,400 mg,32,2024-10-04
077,Amoxicilina,13,13.48,2027-09-12,500 mg,84,2025-03-01
078,Loratadina,106,12.45,2027-03-08,10 mg,7,2025-02-18
079,Omeprazol,157,21.57,2026-10-12,20 mg,74,2024-09-21
080,Metformina,33,9.74,2026-07-13,850 mg,21,2024-09-15
081,Atorvastatina,90,23.14,2025-08-11,20 mg,63,2024-06-30
082,Losartin,366,7.89,2025-08-15,50 mg,90,2025-01-11
083,Salbutamol,415,11.31,2025-12-22,100 mcg,64,2024-12-20
084,Naproxeno,80,24.01,2025-10-21,500 mg,186,2024-09-18
085,Clorfenamina,496,2.69,2025-11-09,4 mg,24,2024-07-01
086,Dipirona,427,5.51,2026-05-16,500 mg,193,2024-06-25
087,Ranitidina,481,1.91,2025-07-17,150 mg,109,2025-05-06
088,Cetirizina,108,13.8,2026-12-11,10 mg,141,2024-08-02
089,Azitromicina,100,15.25,2025-07-05,500 mg,155,2025-01-31
090,Paracetamol,317,13.38,2026-05-12,500 mg,1,2024-10-28
091,Ibuprofeno,166,18.44,2025-08-06,400 mg,68,2025-01-13
092,Amoxicilina,493,17.32,2025-08-21,500 mg,134,2024-11-13
093,Loratadina,471,7.51,2026-09-13,10 mg,166,2024-08-20
094,Omeprazol,394,12.35,2027-09-24,20 mg,185,2024-10-04
095,Metformina,190,7.71,2027-06-28,850 mg,35,2024-12-07
096,Atorvastatina,350,14.61,2027-01-19,20 mg,62,2024-08-15
